#,prjId,Period,Time,StartDate,EndDate,forks,members,commits,issues,watchers,pullReq,CmtCmnt,pullReqCmnt,PR Issue Cmnt,issueCmnt,committers,MemCommitters,PRClosedCnt,IssueClosedCnt,PRClosedTime,IssueClosedTime,Health,Licence,ContribFile,MemIssue,NonMemIssue,OwnerFollower,AvgFollower,OwnerType,MemCommit
570,122385,2011-4,2,1/04/2011 12:00:00 a.m.,1/07/2011 12:00:00 a.m.,6,5,119,11,30,17,0,0,6,10,5,3,9,1,939.7592593,4411.083333,33,,,3,3,14,11,ORG,3
571,122385,2011-7,3,1/07/2011 12:00:00 a.m.,1/10/2011 12:00:00 a.m.,6,5,119,11,31,18,0,0,7,11,5,3,10,2,23342.55833,114689.4167,33,,,3,3,14,11,ORG,3
572,122385,2011-10,4,1/10/2011 12:00:00 a.m.,1/01/2012 12:00:00 a.m.,7,6,151,12,34,21,0,0,7,13,6,4,12,5,22454.64861,121495.3367,33,,,4,3,14,10,ORG,4
573,122385,2012-1,5,1/01/2012 12:00:00 a.m.,1/04/2012 12:00:00 a.m.,8,6,155,12,38,23,0,0,7,14,6,4,14,8,80324.15833,236105.425,33,,,4,3,15,10,ORG,4
574,122385,2012-4,6,1/04/2012 12:00:00 a.m.,1/07/2012 12:00:00 a.m.,13,6,173,18,42,30,0,0,7,14,6,4,16,10,70617.51563,189418.5433,33,,,4,3,15,10,ORG,4
575,122385,2012-7,7,1/07/2012 12:00:00 a.m.,1/10/2012 12:00:00 a.m.,13,6,177,18,45,36,0,6,8,15,6,4,22,16,56131.91894,124950.4625,33,,,4,3,16,11,ORG,4
576,122385,2012-10,8,1/10/2012 12:00:00 a.m.,1/01/2013 12:00:00 a.m.,16,6,182,20,45,38,0,6,8,15,6,4,22,16,56131.91894,124950.4625,33,,,4,5,17,11,ORG,4
577,123740,2011-1,1,1/01/2011 12:00:00 a.m.,1/04/2011 12:00:00 a.m.,0,23,122,9,66,0,0,0,0,14,9,1,0,6,,4764.741667,33,,,2,6,9,9,ORG,1
578,123740,2011-4,2,1/04/2011 12:00:00 a.m.,1/07/2011 12:00:00 a.m.,0,26,142,15,70,0,0,0,0,29,10,2,0,10,,8465.1,33,,,3,9,8,8,ORG,2
579,123740,2011-7,3,1/07/2011 12:00:00 a.m.,1/10/2011 12:00:00 a.m.,0,26,152,19,71,0,0,0,0,34,10,2,0,10,,8465.1,33,,,3,11,8,8,ORG,2
